eng,french
tom found that,Tom a trouvé ça
begin,Commence
we all wished for peace,Nous souhaitions toutes la paix
i already called him,Je lai déjà appelé
youre very resourceful,Vous êtes pleines de ressources
tom has never met mary,Tom na jamais rencontré Marie
i give you my word,Promis
he says that he enjoyed it very much,Il dit que ça lui a beaucoup plu
stop taking things so personally,Arrête de prendre les choses personnellement
all of a sudden a dog began barking,Tout à coup un chien se mit à aboyer
would you like to hear more,Aimeriezvous en entendre davantage
i gave way to their demands,Je cédai à leurs exigences
i dont know his name,Jignore son nom
she denied having met him,Elle a nié lavoir rencontré
thats not original,Ce nest pas original
i just had a talk with your teacher,Je viens davoir une conversation avec votre professeur
tom threatened me,Tom ma menacé
from personal experience i know that any encounter with him will leave a bad taste in your mouth,Selon mon expérience personnelle je sais que la moindre rencontre avec lui laisse un mauvais goût dans la bouche
why do you hate canadians so much,Pourquoi haïssezvous tant les canadiens
i havent heard you play the guitar in a long time,Je ne tai pas entendu jouer de la guitare depuis longtemps
john is two years older than i am,John a deux ans de plus que moi
it kept raining for three days,Il a plu trois jours daffilée
save your longwinded explanations for someone else,Épargnez vos explications alambiquées pour quelquun dautre
do you find the work too hard,Trouvezvous le travail trop dur
i wont pretend im sorry,Je ne ferai pas semblant dêtre désolée
the earliest civilizations arose in mesopotamia,Les civilisations premières apparurent en Mésopotamie
they went to a bar,Elles sont allées dans un bar
i hope youre wrong,Jespère que tu as tort
youve won,Vous avez gagné
let me remind you of something,Laissezmoi vous rappeler quelque chose
do you think i should ask tom for help,Pensezvous que je devrais demander de laide à Tom
if you dont study harder youll fail for sure,Si tu nétudies pas plus dur il est certain que tu échoueras
he prefers not to talk about it,Il préfère ne pas en parler
get in the van,Grimpez dans la camionnette
i want you to consider this proposal,Je veux que vous preniez en compte cette proposition
i shouldve known better,Je naurais pas dû être aussi bête
i think toms here,Je pense que Tom est ici
leave tom,Quitte Tom
whats its name,Comment sappelletil
ive never been in love before,Je nai jamais été amoureuse auparavant
charge it to my account,Metsle sur mon compte
tom knows better,Tom nest pas dupe
let go of my arm,Lâchemoi le bras
ill get in touch with you soon,Je te contacterai bientôt
she shrieked,Elle a crié
she doesnt have many friends,Elle a peu damis
could i use your phone,Pourraisje utiliser ton téléphone
forgive tom,Pardonne Tom
you dont seem too surprised,Vous ne semblez pas trop surprises
i think were going to need more time,Je pense que nous allons avoir besoin de plus de temps
they supported his right to speak freely,Elles ont soutenu son droit à parler librement
the resistance movement has gone underground,Le mouvement de résistance est entré dans la clandestinité
im still married,Je suis encore marié
by the way have you heard from her since then,À propos astu entendu parler delle depuis
quite a few shingles flew off the roof during the storm,Un certain nombre de bardeaux se sont envolés du toit lors de la tempête
people speak french here,Les gens parlent français ici
who broke the news of her death to you,Qui ta révélé la nouvelle de sa mort
my father was an actor,Mon père était un acteur
you still havent told me how old you are,Vous ne mavez toujours pas dit quel âge vous avez
we didnt see any children at all,Nous navons pas du tout vu denfant
lets talk soon,Parlons bientôt
neither motorcyclist was wearing a helmet,Aucun des motards ne portait de casque
i wonder what this phrase means,Je me demande ce que veut dire cette phrase
tom obviously didnt know about it,De toute évidence Tom ne le savait pas
thats very thoughtful of you,Cest très prévenant de votre part
may i suggest another strategy,Puisje suggérer une autre stratégie
i remember that i gave him the key,Je me souviens lui avoir remis la clé
i am looking for my glasses,Je cherche mes lunettes
that was a really scary story,Cétait une histoire très effrayante
she couldnt convince him to write a song for her,Elle ne put le convaincre décrire une chanson à son intention
where could we do that,Où pourrionsnous faire cela
ive never done this in my life,Je nai jamais fait ça de ma vie
we have had a lot of snow this winter,Nous avons eu beaucoup de neige cet hiver
are they taking care of you,Soccupentelles de vous
theyre cannibals,Ce sont des cannibales
what would i do if they really came,Que feraisje sils venaient vraiment
im done,Jen ai fini
ill do anything i can for tom,Je ferai tout ce que je peux pour Tom
tom assigned mary to do the job,Tom a chargé Mary de faire le boulot
it will not be long before he recovers from his illness,Il ny aura pas long avant quil se remette de sa maladie
he inherited an old wooden chest,Il hérita dun vieux coffre de bois
the snow prevented the airplane from taking off,La neige a empêché lavion de décoller
youre a child,Vous êtes un enfant
i always get nervous in her presence,Sa présence me rend toujours nerveux
my brother is now in australia,Mon frère est maintenant en Australie
we all chipped in to buy our teacher a birthday present,Nous nous cotisâmes tous pour acheter un présent danniversaire à notre professeur
how are things at home,Comment vont les choses à la maison
he described the incident in detail,Il donna une description détaillée de laccident
cook the rice,Cuisez le riz
i have good eyesight,Jai une bonne vue
could you send someone up for my bags please,Pourriezvous mander quelquun à létage pour mes bagages je vous prie
ill pay you back as soon as i can,Je te rembourserai dès que je peux
wed better not change the schedule,Nous ferions mieux de ne pas modifier lemploi du temps
ill come and see you later,Je viendrai te voir plus tard
im happy too,Je suis heureuse moi aussi
apply in writing,Pose ta candidature par écrit
i put my fingers in my ears to block out the terrible sounds,Je mis mes doigts dans mes oreilles pour éviter ces bruits terribles
im very sensitive to the cold,Je suis très sensible au froid
you cant leave a baby alone,Vous ne pouvez pas laisser un bébé tout seul
he worked very hard,Il a travaillé très dur
why did you buy such an expensive dictionary,Pourquoi astu acheté un dictionnaire aussi cher
i can trace my ancestors back 200 years,Je peux tracer mes ancêtres deux cents ans en arrière
how many goats do they have,Ils ont combien de chèvres
im very fast,Je suis très rapide
what are you driving at,Quastu envie de dire
she is always neatly dressed,Elle est toujours soigneusement vêtue
im sure this is only temporary,Je suis certaine que ce nest que temporaire
